flight,group,run_name,sigma_px,chi2_mult,fi_max_dist,max_clones,num_pts,fast_thr,min_px,status,xy_ate_rms_m,xy_ate_final_m,yaw_err_rms_deg,yaw_err_p95_deg,yaw_err_final_deg,mean_acc,mean_rej,mean_rej_rate,min_acc,n_starvation,first_stv_t
fly3,H,H_fly3,1.0,3.0,500.0,11.0,600.0,15.0,12.0,OK,300.37112851864515,443.23480240757476,7.296256188371206,13.216814930214777,0.8547649941548502,29.56012692854798,0.1298555640660904,0.014268803034302443,0.0,3403,618.201409
fly3,I,I_fly3,1.0,3.0,500.0,15.0,600.0,15.0,12.0,NOT_RUN,,,,,,,,,,,
fly3,J,J_fly3,2.0,1.0,2000.0,15.0,400.0,20.0,15.0,OK,226.0806373716305,366.37424838083103,6.62934535252107,9.60089816971527,7.866175713772254,15.28263486158223,0.08682569208884998,0.013869942694263964,0.0,3591,618.201409
fly4,A,A_fly4,2.0,1.0,2000.0,11.0,400.0,20.0,15.0,OK,755.2078425177356,781.3079560387828,17.374177341944762,29.10339211359103,-38.65769654447208,18.551027158774374,0.06941155988857939,0.010348975318837834,0.0,2025,924.601347
fly4,B,B_fly4,1.0,1.0,2000.0,11.0,400.0,20.0,15.0,OK,831.0561437226532,544.1333272312655,17.756948188575183,29.89342714578636,-36.494242346844054,18.444446378830083,0.07858635097493036,0.012802404226861262,0.0,2142,924.601347
fly4,C,C_fly4,1.0,3.0,2000.0,11.0,400.0,20.0,15.0,OK,844.6607821424087,884.7742472411596,17.477677949014836,29.606475301262673,-39.25925734486297,18.492444289693594,0.1067200557103064,0.012423214266345139,0.0,2119,924.601347
fly4,D,D_fly4,1.0,5.0,2000.0,11.0,400.0,20.0,15.0,OK,911.1514000387233,362.9786364443106,20.295218034278108,33.80079074957714,-40.33275773390356,18.501514623955433,0.04002437325905293,0.008770880233559972,0.0,2084,924.601347
fly4,E,E_fly4,1.0,1.0,1000.0,11.0,400.0,20.0,15.0,OK,831.0561437226532,544.1333272312655,17.756948188575183,29.89342714578636,-36.494242346844054,18.444446378830083,0.0783774373259053,0.012792099882709402,0.0,2142,924.601347
fly4,F,F_fly4,1.0,3.0,1000.0,11.0,400.0,20.0,15.0,OK,844.6607821424087,884.7742472411596,17.477677949014836,29.606475301262673,-39.25925734486297,18.492444289693594,0.10642409470752089,0.01239883112901501,0.0,2119,924.601347
fly4,G,G_fly4,1.0,1.0,2000.0,11.0,600.0,15.0,12.0,OK,1685.6013306943908,1240.1247965044813,32.23441677568377,49.90788690516724,43.973299847550116,27.517600974930364,0.09803272980501393,0.013339996404609701,0.0,1972,924.601347
fly4,H,H_fly4,1.0,3.0,1000.0,11.0,600.0,15.0,12.0,CRASH,1045419.059611289,2704456.1939727007,107.60878261150711,174.16261888008793,21.994366106220227,0.7867026214579373,0.0029839529640599445,0.00017815383586697995,0.0,44041,924.601347
fly4,J,J_fly4,2.0,1.0,2000.0,15.0,400.0,20.0,15.0,OK,1113.5564505037714,976.9524445694104,25.435659975548198,40.45885522286982,-49.56730954736471,15.65974930362117,0.10696378830083565,0.011686789385398792,0.0,2238,924.601347
